"Issuer Company","Issue Type","Listing Date","Issue Size","Subscribed","Issue Price","Listing Day Price","Current Price","52 Week High","52 Week Low","Recommendation by Dilip Davda"
"Energy-Mission Machineries (India) Limited","SME","May 16, 2024","Rs 41.15 Cr","320.67x","Rs 138.00","Rs 384.25 (178.44%)","Rs 362.00 (162.32%)","","","May apply"
"Silkflex Polymers (India) Limited","SME","May 15, 2024","Rs 18.11 Cr","39.3x","Rs 52.00","Rs 58.70 (12.88%)","Rs 86.05 (65.48%)","","","May apply"
"TGIF Agribusiness Limited","SME","May 15, 2024","Rs 6.39 Cr","37.13x","Rs 93.00","Rs 142.50 (53.23%)","Rs 91.85 (-1.24%)","Rs 156.80 (May 15, 2024)","Rs 77.60 (Jun 04, 2024)","May apply"
"Finelistings Technologies Limited","SME","May 14, 2024","Rs 13.53 Cr","37.44x","Rs 123.00","Rs 133.35 (8.41%)","Rs 55.99 (-54.48%)","Rs 162.05 (May 18, 2024)","Rs 55.23 (Jun 05, 2024)","Avoid"
"Refractory Shapes Limited","SME","May 14, 2024","Rs 18.60 Cr","255.08x","Rs 31.00","Rs 78.75 (154.03%)","Rs 233.80 (654.19%)","","","May apply"
"Winsol Engineers Limited","SME","May 14, 2024","Rs 23.36 Cr","682.14x","Rs 75.00","Rs 383.25 (411%)","Rs 391.50 (422%)","","","Apply"
"Slone Infosystems Limited","SME","May 10, 2024","Rs 11.06 Cr","667.81x","Rs 79.00","Rs 112.60 (42.53%)","Rs 158.05 (100.06%)","","","May apply"
"Sai Swami Metals & Alloys Limited","SME","May 08, 2024","Rs 15.00 Cr","543.72x","Rs 60.00","Rs 119.70 (99.5%)","Rs 55.05 (-8.25%)","Rs 119.70 (May 08, 2024)","Rs 45.71 (Jun 05, 2024)","May apply"
"Storage Technologies and Automation Ltd","SME","May 08, 2024","Rs 29.95 Cr","278.82x","Rs 78.00","Rs 153.05 (96.22%)","Rs 172.15 (120.71%)","Rs 220.50 (Jul 04, 2024)","Rs 105.50 (Jun 04, 2024)","May apply"
"Amkay Products Limited","SME","May 08, 2024","Rs 12.61 Cr","748.03x","Rs 55.00","Rs 109.72 (99.49%)","Rs 77.80 (41.45%)","Rs 120.96 (May 10, 2024)","Rs 58.00 (Jun 04, 2024)","May apply"
"Varyaa Creations Limited","SME","Apr 30, 2024","Rs 20.10 Cr","3.59x","Rs 150.00","Rs 270.75 (80.5%)","Rs 75.00 (-50%)","Rs 299.25 (Apr 30, 2024)","Rs 61.11 (Jun 11, 2024)","Avoid"
"Shivam Chemicals Limited","SME","Apr 30, 2024","Rs 20.18 Cr","6.61x","Rs 44.00","Rs 47.40 (7.73%)","Rs 53.92 (22.55%)","Rs 63.00 (Jul 23, 2024)","Rs 45.10 (Jun 04, 2024)","Avoid"
"Emmforce Autotech Limited","SME","Apr 30, 2024","Rs 53.90 Cr","364.37x","Rs 98.00","Rs 195.51 (99.5%)","Rs 176.25 (79.85%)","Rs 264.00 (May 15, 2024)","Rs 132.15 (Jun 05, 2024)","Apply"
"Faalcon Concepts Limited","SME","Apr 26, 2024","Rs 12.09 Cr","71.28x","Rs 62.00","Rs 90.25 (45.56%)","Rs 61.00 (-1.61%)","Rs 95.00 (Apr 26, 2024)","Rs 48.80 (Jun 05, 2024)","Apply"
"Ramdevbaba Solvent Limited","SME","Apr 23, 2024","Rs 50.27 Cr","126.21x","Rs 85.00","Rs 117.60 (38.35%)","Rs 92.80 (9.18%)","","","Apply"
"Grill Splendour Services Limited","SME","Apr 23, 2024","Rs 16.47 Cr","8.68x","Rs 120.00","Rs 127.35 (6.13%)","Rs 71.80 (-40.17%)","","","Avoid"
"Greenhitech Ventures Limited","SME","Apr 22, 2024","Rs 6.30 Cr","769.95x","Rs 50.00","Rs 99.75 (99.5%)","Rs 136.15 (172.3%)","Rs 175.00 (May 08, 2024)","Rs 94.45 (Jun 05, 2024)","Avoid"
"DCG Cables & Wires Limited","SME","Apr 16, 2024","Rs 49.99 Cr","16.96x","Rs 100.00","Rs 91.55 (-8.45%)","Rs 136.15 (36.15%)","","","Apply"
"Teerth Gopicon Limited","SME","Apr 16, 2024","Rs 44.40 Cr","75.54x","Rs 111.00","Rs 131.25 (18.24%)","Rs 517.00 (365.77%)","","","Apply"
"Aluwind Architectural Limited ","SME","Apr 09, 2024","Rs 29.70 Cr","8.19x","Rs 45.00","Rs 47.25 (5%)","Rs 62.55 (39%)","","","May apply"
"Creative Graphics Solutions India Limited","SME","Apr 09, 2024","Rs 54.40 Cr","201.86x","Rs 85.00","Rs 176.25 (107.35%)","Rs 178.85 (110.41%)","","","Apply"
"Yash Optics & Lens Limited","SME","Apr 08, 2024","Rs 53.15 Cr","42.17x","Rs 81.00","Rs 92.70 (14.44%)","Rs 98.30 (21.36%)","","","May apply"
"K2 Infragen Limited","SME","Apr 08, 2024","Rs 40.54 Cr","51.47x","Rs 119.00","Rs 173.25 (45.59%)","Rs 271.05 (127.77%)","","","May apply"
